Season,Team,HGD,AGD,H,Alpha
13/14,Arsenal,25,2,7.578947368421052,0.8567251461988304
13/14,Aston Villa,-7,-15,7.578947368421052,0.0233918128654971
13/14,Cardiff,-15,-27,7.578947368421052,0.2456140350877193
13/14,Chelsea,32,12,7.578947368421052,0.6900584795321638
13/14,Crystal Palace,-5,-10,7.578947368421052,-0.14327485380116955
13/14,Everton,19,3,7.578947368421052,0.4678362573099416
13/14,Fulham,-14,-31,7.578947368421052,0.5233918128654972
13/14,Hull,-1,-14,7.578947368421052,0.30116959064327486
13/14,Liverpool,35,16,7.578947368421052,0.6345029239766082
13/14,Man City,50,15,7.578947368421052,1.523391812865497
13/14,Man United,8,13,7.578947368421052,-0.698830409356725
13/14,Newcastle,-5,-11,7.578947368421052,-0.08771929824561402
13/14,Norwich,-1,-33,7.578947368421052,1.3567251461988306
13/14,Southampton,9,-1,7.578947368421052,0.1345029239766082
13/14,Stoke,10,-17,7.578947368421052,1.0789473684210527
13/14,Sunderland,-6,-13,7.578947368421052,-0.03216374269005846
13/14,Swansea,7,-7,7.578947368421052,0.35672514619883045
13/14,Tottenham,7,-3,7.578947368421052,0.1345029239766082
13/14,West Brom,-3,-13,7.578947368421052,0.1345029239766082
13/14,West Ham,-1,-10,7.578947368421052,0.07894736842105265
14/15,Arsenal,27,8,7.631578947368421,0.631578947368421
14/15,Aston Villa,-7,-19,7.631578947368421,0.24269005847953215
14/15,Burnley,-7,-18,7.631578947368421,0.1871345029239766
14/15,Chelsea,27,14,7.631578947368421,0.2982456140350877
14/15,Crystal Palace,-6,2,7.631578947368421,-0.868421052631579
14/15,Everton,6,-8,7.631578947368421,0.3538011695906433
14/15,Hull,-5,-13,7.631578947368421,0.02046783625730993
14/15,Leicester,6,-15,7.631578947368421,0.7426900584795322
14/15,Liverpool,10,-6,7.631578947368421,0.4649122807017544
14/15,Man City,30,15,7.631578947368421,0.4093567251461988
14/15,Man United,26,-1,7.631578947368421,1.0760233918128654
14/15,Newcastle,-1,-22,7.631578947368421,0.7426900584795322
14/15,QPR,-1,-30,7.631578947368421,1.1871345029239766
14/15,Southampton,24,-3,7.631578947368421,1.0760233918128654
14/15,Stoke,10,-7,7.631578947368421,0.52046783625731
14/15,Sunderland,-11,-11,7.631578947368421,-0.4239766081871345
14/15,Swansea,5,-8,7.631578947368421,0.2982456140350877
14/15,Tottenham,7,-2,7.631578947368421,0.07602339181286549
14/15,West Brom,-2,-11,7.631578947368421,0.07602339181286549
14/15,West Ham,7,-10,7.631578947368421,0.52046783625731
15/16,Arsenal,20,9,5.684210526315789,0.2953216374269006
15/16,Aston Villa,-21,-28,5.684210526315789,0.07309941520467837
15/16,Bournemouth,-11,-11,5.684210526315789,-0.3157894736842105
15/16,Chelsea,2,4,5.684210526315789,-0.4269005847953216
15/16,Crystal Palace,-4,-8,5.684210526315789,-0.0935672514619883
15/16,Everton,5,-1,5.684210526315789,0.017543859649122813
15/16,Leicester,17,15,5.684210526315789,-0.2046783625730994
15/16,Liverpool,11,2,5.684210526315789,0.1842105263157895
15/16,Man City,26,4,5.684210526315789,0.9064327485380118
15/16,Man United,18,-4,5.684210526315789,0.9064327485380118
15/16,Newcastle,8,-29,5.684210526315789,1.7397660818713452
15/16,Norwich,-4,-24,5.684210526315789,0.7953216374269005
15/16,Southampton,17,1,5.684210526315789,0.5730994152046783
15/16,Stoke,-2,-12,5.684210526315789,0.23976608187134504
15/16,Sunderland,3,-17,5.684210526315789,0.7953216374269005
15/16,Swansea,0,-10,5.684210526315789,0.23976608187134504
15/16,Tottenham,20,14,5.684210526315789,0.017543859649122813
15/16,Watford,1,-11,5.684210526315789,0.3508771929824561
15/16,West Brom,-6,-8,5.684210526315789,-0.2046783625730994
15/16,West Ham,8,6,5.684210526315789,-0.2046783625730994
16/17,Arsenal,23,10,7.894736842105263,0.28362573099415206
16/17,Bournemouth,6,-18,7.894736842105263,0.8947368421052632
16/17,Burnley,6,-22,7.894736842105263,1.1169590643274854
16/17,Chelsea,38,14,7.894736842105263,0.8947368421052632
16/17,Crystal Palace,-1,-12,7.894736842105263,0.17251461988304095
16/17,Everton,26,-8,7.894736842105263,1.4502923976608186
16/17,Hull,-7,-36,7.894736842105263,1.172514619883041
16/17,Leicester,6,-21,7.894736842105263,1.0614035087719298
16/17,Liverpool,27,9,7.894736842105263,0.5614035087719298
16/17,Man City,20,21,7.894736842105263,-0.4941520467836258
16/17,Man United,14,11,7.894736842105263,-0.27192982456140347
16/17,Middlesbrough,-6,-20,7.894736842105263,0.33918128654970764
16/17,Southampton,-4,-3,7.894736842105263,-0.4941520467836258
16/17,Stoke,0,-15,7.894736842105263,0.39473684210526316
16/17,Sunderland,-18,-22,7.894736842105263,-0.21637426900584794
16/17,Swansea,-7,-18,7.894736842105263,0.17251461988304095
16/17,Tottenham,38,22,7.894736842105263,0.4502923976608187
16/17,Watford,-4,-24,7.894736842105263,0.672514619883041
16/17,West Brom,5,-13,7.894736842105263,0.5614035087719298
16/17,West Ham,-12,-5,7.894736842105263,-0.827485380116959
17/18,Arsenal,34,-11,7.684210526315789,2.0730994152046787
17/18,Bournemouth,-4,-12,7.684210526315789,0.017543859649122813
17/18,Brighton,-1,-19,7.684210526315789,0.5730994152046783
17/18,Burnley,-1,-2,7.684210526315789,-0.3713450292397661
17/18,Chelsea,14,10,7.684210526315789,-0.2046783625730994
17/18,Crystal Palace,2,-12,7.684210526315789,0.3508771929824561
17/18,Everton,6,-20,7.684210526315789,1.0175438596491229
17/18,Huddersfield,-9,-21,7.684210526315789,0.23976608187134504
17/18,Leicester,3,-7,7.684210526315789,0.1286549707602339
17/18,Liverpool,35,11,7.684210526315789,0.9064327485380118
17/18,Man City,47,32,7.684210526315789,0.4064327485380117
17/18,Man United,29,11,7.684210526315789,0.5730994152046783
17/18,Newcastle,4,-12,7.684210526315789,0.4619883040935673
17/18,Southampton,-6,-13,7.684210526315789,-0.038011695906432746
17/18,Stoke,-10,-23,7.684210526315789,0.2953216374269006
17/18,Swansea,-7,-21,7.684210526315789,0.3508771929824561
17/18,Tottenham,24,14,7.684210526315789,0.1286549707602339
17/18,Watford,-4,-16,7.684210526315789,0.23976608187134504
17/18,West Brom,-8,-17,7.684210526315789,0.07309941520467837
17/18,West Ham,-2,-18,7.684210526315789,0.4619883040935673
